image_id,premise,hypothesis,hyp_rel,label
50819,A large clock sits atop a chaple like building.,bun on bottom of sandwich,"[[1708163, u'ON', None, 1841656]]",0
548690,A street with a sign that is in green on the side ,a large rock in dirt,"[[2936853, u'IN', u'in.r.01', 2936854]]",1
293880,A fighter jet parked on top of a large tarmac.,Urinal on blue wall,"[[3040920, u'ON', u'along.r.01', 3761657]]",0
16173,an older gentlemen leaning  over to blow his candles out,Clear serving plate by the cake.,"[[2190704, u'by', u'by.r.01', 2190705]]",1
234522,A airplane that is flying in the air.,A young boy on a skateboard,"[[748242, u'on a', u'along.r.01', 748243]]",0
288664,A man standing at the beach holding a cell phone,the soap dispenser is on the wall,"[[803901, u'ON', u'be.v.01', 803903]]",0
506172,Two guys are watching tv in the living room,Long bushy plant in front of a building,"[[2934642, u'in front of', u'in.r.01', 3561959]]",0
237677,a person on a bed playing on a laptop,the window is reflecting the bird,"[[339561, u'reflects', u'chew_over.v.01', 339557]]",0
530933,A white and beige bathroom has a wooden toilet seat.,Doorknob on the door,"[[2368130, u'ON', u'along.r.01', 2368131]]",1
10733,Two zebras are grazing in tall grass on a savannah.,cat sitting in front of television,"[[1091383, u'in front of', u'in.r.01', 1091384]]",0
82729,A man preparing lots of food in a kitchen.,shoes on the boy,"[[3698855, u'ON', u'along.r.01', 2856019]]",0
90569,a close up of two people holding two wine glasses,Brown and bare tree branch by the giraffe's head.,"[[480497, u'has', u'have.v.01', 480498]]",0
306800,Two police officers on bikes are riding down the street.,man is riding a bike ,"[[3508807, u'riding', u'depend_on.v.01', 3700476]]",1
331152,A group of elephants standing around a baby elephant.,tail of the elephant,"[[3373042, u'has', u'have.v.01', 2889992]]",1
149616,Two men milking a cow that has it's back legs tied.,a man's ear,"[[881728, u'left side', u'leave.v.01', 881752]]",1
286328,a person holding a cell phone in front of two phones and a remote,The woman is wearing a black jacket.,"[[2210901, u'WEARING', u'wear.v.01', 2210902]]",0
140617,"A man shooting a ""V"" sign at the camera.",a man's left ear,"[[2220269, u'has', u'have.v.01', 2220268]]",1
543084,Several people are skiing and snowboarding down a hill.,neck of a bird,"[[934975, u'has', u'have.v.01', 934978]]",0
495040,A transit bus sitting on a street side across from a Church in the snow.,A stack of snow by the road,"[[3024414, u'by', u'by.r.01', 3024415]]",1
318726,a room with a desk with a laptop and a guitar ,small poster hung on the wall,"[[1160034, u'hung on', u'along.r.01', 1160035]]",1
425131,an orange and black motorcycle is parked and some cars,a headlight on a motorcycle,"[[3510114, u'ON', u'along.r.01', 3404631]]",1
156701,A girl is in the water alongside a fishing boat with an umbrella.,The rope attached to the front of the boat.,"[[701488, u'attached to', u'attach.v.01', 701484]]",1
515287,a white bathroom with a tub sink and mirror,Mirror above the sink,"[[965257, u'above', u'above.r.01', 965255]]",1
285800,A white stove in a yellow kitchen with a spray bottle.,A bowl full of mushrooms,"[[475580, u'full of', u'fully.r.01', 475579]]",0
21212,A sign pointing down a street to a tall tower.,white tower with a sculpture,"[[2465373, u'with', None, 2465374]]",1
158601,an open black suitcase and a persons arm,reflection of the doorknob in the mirror,"[[3606917, u'IN', None, 1897978]]",0
511168,MA group of giraffes and zebras gathered around a watering hole.,Grass in the water,"[[723098, u'IN', u'in.r.01', 723093]]",1
229180,a small child wearing shades and holding a banana,girl is holding a banana,"[[803608, u'holding', u'have.v.01', 803596]]",1
251793,Several giraffes running together in a field of green grass.,white clouds in blue sky,"[[3231007, u'IN', u'in.r.01', 3231008]]",0
379409,A red and white truck parked in a parking space.,a big area of snow,"[[163157, u'OF', None, 163160]]",0
547726,The player in the maroon jersey is throwing a baseball.,the boy wearing gray pants,"[[1276726, u'wears', u'wear.v.01', 1276747]]",1
139389,A car in a parking lot outside of a large building,A dark patch on road. ,"[[2126823, u'ON', u'along.r.01', 2126824]]",0
210791,a kid in a helmet is holding a baseball bat,"sign that says ""please do not litter""","[[2342095, u'for', None, 3734433]]",1
458281,Kids riding skate boards on city street casting long shadows.,A person skating in the street,"[[2499224, u'IN', None, 2499225]]",1
339034,A woman sitting on a bus with a green purse looking at her cell phone. ,A blue seat in a bus,"[[2509672, u'inside', u'inside.r.01', 2509673]]",1
528425,A man is shearing a sheep on a table.,old man shaving a sheep,"[[2198584, u'shaving', u'shave.v.01', 2904779]]",1
382692,A motorcycle is parked in front of two garages. ,a man with his arms around woman,"[[2139082, u'with arms around', u'approximately.r.01', 3750639]]",0
143379,Adult and child walking on a brick road in the rain.,bridge over a river,"[[3314207, u'over', u'over.r.01', 3314208]]",1
429084,A sign on a post has many ties wrapped around it. ,Red and white tie around the pole.,"[[3938525, u'tied around', None, 3938518]]",1
527597,A baby elephant standing next to it's mother with blood pouring down her leg.,tip of tail has hair,"[[900607, u'ON', u'along.r.01', 900606]]",1
502370,THERE IS A PERSON THAT IS JUMPING HIGH ON A SKATE BOARD ,A group of people playing frisbee.,"[[440955, u'playing', u'play.v.01', 440956]]",0
393845,A woman helping a man tie his windsor knot tie.,Light pole with three lights on them.,"[[1039348, u'has', u'have.v.01', 1039349]]",0
397482,Man on a yellow motorcycle driving down a beach.,The ladder on the left side on the front of the train.,"[[894571, u'has', u'have.v.01', 894583]]",0
453625,There are two lap tops on a desk with a desk top,white laptop with blue and green graphs on the screen,"[[1802256, u'ON', u'along.r.01', 1802254]]",1
427895,Black and white photograph of people playing tennis on a  plane.,the propeller of a plane spinning full speed,"[[338906, u'ON', u'along.r.01', 338892]]",1
517031,three men standing by some ovens in a building,A woman in jeans leaning on a dining room chair,"[[1288261, u'wears', u'wear.v.01', 1288263]]",0
240802,A stop sign is standing at a street intersection.,the horses are pulling a carriage,"[[2520280, u'pulling', u'pull.v.01', 2026484]]",0
404235,A long cement sidewalk on a city street.,Back of SUV on street,"[[349524, u'ON', u'along.r.01', 349525]]",1
524905,A giraffe who has walked away from the herd to get a drink of water.,Bicycle against tree,"[[1186962, u'near', u'about.r.07', 1186959]]",0
131784,A military jet and two old war planes flying close to each other.,A cockpit of a small plane,"[[226367, u'OF', None, 226359]]",1
390496,Two people entering a small airplane on a runway.,Small yellow flowers in the grass.,"[[3439743, u'IN', u'in.r.01', 3439742], [3439744, u'IN', u'in.r.01', 3439742], [3439745, u'IN', u'in.r.01', 3439742], [3439746, u'IN', u'in.r.01', 3439742], [3439747, u'IN', u'in.r.01', 3439742]]",0
395269,A group of sweet rolls shaped like bear heads.,baby blue sky with wispy white clouds,"[[1670933, u'within', u'inside.r.02', 1670934]]",0
77760,A glass of roses in a vase on a counter.,waves crashing against rocks,"[[2325577, u'crashing against', u'crash.v.01', 3855995]]",0
298269,A PLANE WITH A SINGLE ENGINE IS PARKED,leaves on the tree,"[[2513974, u'has', u'have.v.01', 3525166], [2513974, u'has', u'have.v.01', 3525167], [2513974, u'has', u'have.v.01', 3525168], [2513974, u'has', u'have.v.01', 3525169], [2513974, u'has', u'have.v.01', 3525170]]",0
402915,A small shack with a fire hydrant sitting in the trees,a white truck carrying trees,"[[1151734, u'carries', u'transport.v.02', 1151742]]",0
189361,A bus at a bus stop picking up people. ,left knee of kid,"[[712892, u'has', u'have.v.01', 712899]]",0
202767,A group of people sitting and eating food.,little boy sitting on green chair,"[[1586205, u'IN', u'in.r.01', 1586198]]",1
178957,Giraffe and zebra standing together on ledge in zoo enclosure.,a shirt with pockets,"[[1352807, u'with a', None, 1352805]]",0
493162,"A bathroom complete with pedestal sink, toilet and enclosed bathtub.",bird with a black head,"[[147212, u'has', u'have.v.01', 147213]]",0
210175,A man riding a horse into the air next to two men.,Yellow and white straw in a glass.,"[[2996743, u'in a', u'in.r.01', 3624254]]",0
427449,A man standing beside a motorcycle packed and ready to go.,Motorcycle on kickstand,"[[2774594, u'ON', None, 2774595]]",1
229598,An older man and a child blow the candles out on a birthday cake.,The wooden table under the cake.,"[[336822, u'under a', u'be.v.01', 336810]]",1
183719,Two Zebras seems to be playing together in the wilderness. ,leg of a giraffe,"[[1046629, u'of a', None, 1046603]]",1
441952,A town clock tower in a bed of flowers at a roundabout.,traffic circle around landscaped plaza,"[[1175047, u'around', u'be.v.01', 1175060]]",1
174213,A man in wetsuit waterskiing with people watching.,A cup in the hand of a man,"[[152027, u'has', u'have.v.01', 152042], [152042, u'IN', u'in.r.01', 152043]]",1
451312,A station that has several train sections in it.,The windshield of the plane ,"[[906933, u'OF', None, 906918]]",0
286678,A very pretty horse standing by a car.,a saddle on a brown horse,"[[992345, u'has a', u'have.v.01', 992351]]",1
160848,a bike that is parked next to a body of water,Matching red toilet and bathtub,"[[2430317, u'match', u'match.v.01', 2430318]]",0
78797,a window over looking a hill side above water,Man wearing a light blue shirt,"[[2992508, u'WEARING', u'wear.v.01', 3219196]]",0
519381,"A herder is guiding his livestock, while riding a camel.",man is riding horse,"[[579254, u'riding a', u'depend_on.v.01', 579255]]",1
101017,Two women reaching for a Frisbee in the air.,two woman playing frisbee,"[[3155351, u'playing with', u'play.v.01', 3532242], [2944268, u'playing with', u'play.v.01', 3532242]]",1
470085,The two elephants are very close to each other.,brown earth behind elephants,"[[3528991, u'behind', u'behind.r.01', 3024731]]",1
406205,A red traffic light at a snowy corner with Christmas lights in the distance., a window on a building ,"[[1573248, u'on a', u'along.r.01', 1573247]]",1
250474,a person that is standing up playing some wii,a cord connected to a television,"[[2898628, u'connected to', u'associate.v.01', 2898629]]",1
505420,A man that is crouched down skiing down a hill.,pizza with many toppings on it,"[[2800656, u'ON', None, 2741131], [2800657, u'ON', None, 2741131]]",0
402531,A couple smile and hug next to a refrigerator at a party.,mirror on the car,"[[844740, u'ON', u'be.v.01', 844759]]",0
4739,a goat is standing in a market area,front tire of the bike,"[[2719972, u'OF', None, 2719971]]",1
102290,A break dancer practices his one handed hand stand.,tile on the floor,"[[2334558, u'ON', u'along.r.01', 2334559]]",1
474614,korean taco stand open and all lit up at night,cracked pavement in parking lot,"[[2957556, u'IN', u'in.r.01', 3619299]]",1
510730,"A field with a couple elephants following a trail, carrying people.",a  knit cap warming a head,"[[2020503, u'ON', u'along.r.01', 3625600]]",0
396420,Many boats are parked in the harbor on the water.,bread in a basket on the table,"[[802494, u'inside of', u'be.v.01', 802493]]",0
92761,a surfer riding a small wave in the ocean,man's head in a wetsuit,"[[607508, u'has a', u'have.v.01', 607519], [607519, u'IN', u'be.v.01', 607511]]",1
244857,a bed room with a neatly made bed a chair and large windows,a red cushion on a bed,"[[2325449, u'ON', u'along.r.01', 3571183]]",1
137745,A small enclosure built around a red fire hydrant.,tall pink flowers on a stalk,"[[2529229, u'ON', u'along.r.01', 2529235], [2529230, u'ON', u'along.r.01', 2529235], [2529231, u'ON', u'along.r.01', 2529238]]",1
423711,Several people are sitting at long tables with water glasses.,shade over a window.,"[[1160370, u'has a', u'have.v.01', 1160371]]",1
352185,A person on a bike in front of a bus.,Bus behind man on bike,"[[447086, u'behind', u'behind.r.01', 447087], [447087, u'ON', u'along.r.01', 447088]]",1
335362,A dark hearty Guinness Draught is a good accompaniment for any sandwich.,brown fence next to zebra,"[[2162195, u'next to', u'next.r.01', 2402104]]",0
426318,A man sitting on a bench while leaning on his bag and one foot rested on a cement block. ,chimney on top of a building,"[[2229622, u'on top of', u'along.r.01', 3561014]]",0
216528,A soldier is mounted on a horse as a small dog walks near.,a man and a woman are standing,"[[1939029, u'standing with', u'stand.v.01', 3612040]]",0
267762,a vintage red fire truck parked on the side of a street,blue light on the top of the truck,"[[1860751, u'on top of', u'along.r.01', 1687920]]",1
254008,A couple of cows standing on top of a green hillside.,red truck parked in lot,"[[1654505, u'parked in', u'in.r.01', 1654506]]",0
157634,A keyboard sitting in the dark with a small shred of light passing over it.,a cigarette butt on the ground ,"[[3654577, u'ON', u'be.v.01', 3318216]]",0
63330,A black and white photograph of flouring mill truck.,1 on the door of truck,"[[2100168, u'ON', u'along.r.01', 2100169], [2689693, u'has', u'have.v.01', 2100169]]",1
313201,A man standing on a very busy sidewalk in a city,man wearing a dark suit,"[[1604839, u'WEARING', u'wear.v.01', 1604838]]",1
405210,A player is down while others tend to him at a soccer game.,Water in the sea,"[[2569193, u'ON', u'along.r.01', 3874970]]",0
535171,DECORATION OF TWO BIRDS SITTING ON A FAKE TREE WITH A VASE OF RED BERRIES,white clouds in blue sky,"[[781771, u'IN', u'in.r.01', 3754919]]",0
249288,many policemen on motorcycles a street and buildings,Windows on the building.,"[[1688113, u'ON', u'along.r.01', 1688114]]",1
91436,White bullet train at depot with passengers on platform.,Giraffes have the longesy neck of all the animals,"[[1924891, u'has', u'have.v.01', 3605549]]",0
47621,A girl puts her arm around a cow,two zebras standing next to eachother,"[[2016401, u'standing next to', u'stand.v.01', 3576440]]",0
488282,Birthday cake with a three candle and six other candles.,four men slicing a cake,"[[2964854, u'slice', None, 2964858], [2964855, u'slice', None, 2964858], [2964856, u'slice', None, 2964858], [2964857, u'slice', None, 2964858]]",0
418505,"a living room with many windows, a couch and a coffee table",green field of a baseball diamond,"[[2346913, u'ON', u'along.r.01', 2346914]]",0
151615,A herd of black and white cattle grazing on a lush grass covered hillside.,man carrying a white bag,"[[3512791, u'carrying', u'transport.v.02', 3753291]]",0
553793,A bench with a shopping cart laying on its side next to it.,a tree growing beside the street,"[[161583, u'near', u'about.r.07', 161592]]",1
203036,Four men stands around with hands on their ties. ,a poster on the wall,"[[1231371, u'ON', u'along.r.01', 1231362]]",1
503321,a statue of a deep sitting in front of a broken traffic light ,white bird with yellow beak,"[[561850, u'with', None, 561855]]",0
298949,A skateboarder flips his board while performing a trick.,Building to the right of the male,"[[1988170, u'by', u'by.r.01', 2218357]]",1
147846,a man and a woman walking across the street,magazine rack by the sofa,"[[1045367, u'by', u'by.r.01', 1045368]]",0
59351,"A person walking on a dirt path with a horse beside them, and the horse is carrying a pack on it's back.",Shrimp in plate to the left,"[[2112996, u'ON', u'along.r.01', 3748641]]",0
277623,A couple of dogs looking inquisitively while tied to a bench.,cloud in the sky ,"[[2194401, u'IN', u'in.r.01', 2194402]]",0
486159,"A stew pot holding carrots, celery, and squash.",a carrot in the pot,"[[2981870, u'IN', u'in.r.01', 2981871]]",1
176761,"An old, dirty toilet with a wooden seat sits outside.",fence behind the toilet,"[[430964, u'behind', u'behind.r.01', 430955]]",1
445477,A man holding a glass drinks a beverage.,two horses on carriage,"[[2461652, u'ON', u'along.r.01', 3764193]]",0
432327,A bunch of felt and glues lined out on a wooden table. ,white flowers on table,"[[1590031, u'ON', u'along.r.01', 1590032]]",1
37327,A group of suitcases that are sitting on a street.,the tire of a car ,"[[1098625, u'ON', u'be.v.01', 1098624], [1098625, u'ON', u'be.v.01', 1098624]]",1
416169,Two men picking up discs during a game of Disc Golf.,An orange frisbee in the basket,"[[578477, u'IN', u'be.v.01', 578498]]",1
491611,Two zebras are rubbing their necks together in a field.,the front legs of a zebra,"[[934209, u'OF', None, 934206]]",1
104248,Two men sitting on a couch playing games on Nintendo Wii.,patch of grass on side of road,"[[1840196, u'on side of', u'along.r.01', 3889369]]",0
579862,A group of bicyclists ride along a busy street.,a man wearing pants,"[[880857, u'WEARING', u'wear.v.01', 880856]]",0
237142,An old vase with a story being told on the surface,People painted on the bottom portion of the vase,"[[553828, u'ON', u'along.r.01', 553824], [553829, u'OF', None, 553824]]",1
366005,a lady dressed in blue throwing a frisbee,a field of trees is in the background,"[[2287038, u'OF', None, 2287039]]",1
79193,A toilet that is sitting near a trash can.,blue and white plunger under toilet,"[[3493741, u'under', u'under.r.01', 3439467]]",1
234717,people walking beside a trail walking towards a large structure ,Water in the distance,"[[1128869, u'IN', u'be.v.01', 1128879]]",1
382857,Two dolls on top of a wooden chair in a bedroom.,the man has dark hair,"[[335453, u'has', u'have.v.01', 335463]]",0
195027,a young person sitting at a table with a plate ,a red straw on a table,"[[2145912, u'ON', u'along.r.01', 2644652]]",1
17936,A cat sitting on a coffee table next to a remote control.,An older man with a beard.,"[[345797, u'has', u'have.v.01', 345798]]",0
380591,a guy doing a skateboard trick by a railing ,boy wearing yellow cap,"[[733880, u'WEARING', u'be.v.01', 733886]]",1
206606,A young boy executing a skateboard move at a park. ,Building in the background,"[[1100858, u'IN', u'in.r.01', 1100869]]",1
46737,a blue pickup truck waiting for a pedestrian to cross the street,white clouds in blue sky,"[[3590810, u'IN', u'in.r.01', 2181522]]",0
563292,a bunch of building cramped together with a clock tower in the middle ,the window on the building,"[[2033526, u'ON', u'along.r.01', 2033527]]",1
452183,A yellow train traveling through a green field.,Trees beside the train,"[[534333, u'near', u'about.r.07', 534331]]",1
15347,A meal of a hamburger and potato chips.,knee of the person,"[[2866670, u'ON', u'along.r.01', 2749402], [3589230, u'ON', u'along.r.01', 2749402]]",0
420161,A hand holds a frosted donut pastry wrapped in wax paper.,back legs of elephant ,"[[3294635, u'ON', u'along.r.01', 3568170]]",0
442268,A baby sits on a bench with his arms extended in preparation of clapping.,the cockpit of the plane,"[[1681327, u'OF', None, 2574097]]",0
16166,Small group in orange inflatable boat enjoying view of lighthouse,lighthouse in the water,"[[688079, u'IN', u'in.r.01', 688084]]",1
325758,A kitchen filled with metallic appliances sitting  on a hard wood floor.,A bottle on a counter.,"[[1564712, u'ON', u'along.r.01', 1564713]]",0
467347,a granite table with a piece of cake and knife on it ,outside furniture seen through window,"[[1090610, u'seen through a', u'be.v.01', 1090602]]",1
407313,Plate of pasta with broccoli and peppers near fork.,the fork is on the plate,"[[1098578, u'ON', u'along.r.01', 1098576]]",1
328599,A man and woman standing against a wooden fence both looking at their mobile phones,black boots on woman,"[[3881778, u'ON', u'along.r.01', 2385678], [3881778, u'ON', u'along.r.01', 2385678]]",1
550870,Gentleman sitting down eating pizza in a restaurant,black seat behind the man,"[[2658827, u'sits on', u'sit.v.01', 2658826]]",1
370177,A man riding skis down the side of a snow covered slope.,mane on pony's neck,"[[258516, u'has', u'have.v.01', 258529], [258516, u'has', u'have.v.01', 258530], [258518, u'has', u'have.v.01', 258531], [258518, u'has', u'have.v.01', 258532]]",0
511062,A young lady poses in front of her surfboard on a sandy beach.,trees behind the sand,"[[832290, u'are behind', u'be.v.01', 832288]]",1
134948,Someone walking down the beach carrying their surfboard.,The feet of the man on the boulder ,"[[2547549, u'ON', u'along.r.01', 3720791]]",1
491936,The top of a bus with clock tower in the distance.,skier wears a red sweatshirt,"[[3007581, u'wears', u'wear.v.01', 3007582]]",0
471774,An individual wearing snow skies poses on a snowy terrain.,the letters on the wall,"[[839834, u'ON', u'along.r.01', 839824]]",0
164663,This is three different images of a Frisbee falling and at different heights.,the man is wearing a wet suit,"[[1254034, u'WEARING', u'wear.v.01', 1254039]]",0
83548,A giraffe can be seen peering over a wooden fence.,rope on fence in front of giraffes,"[[397539, u'in front of', u'in.r.01', 397537]]",1
542950,Closeup of a sandwich with various condiments on it and sidewalk in background.,some more onions on the hot dog,"[[1152740, u'across', u'across.r.01', 1152744]]",1
264537,A young man sitting on a subway train holding a skateboard.,hand holding a phone,"[[3388119, u'holding', u'have.v.01', 3388120]]",1
246918,Three images of men in different stages of playing tennis.,Black letter on a white sign,"[[3704294, u'ON', u'along.r.01', 2407361]]",0
383404,a couple of baseball players are in a field,mini blinds for a window,"[[573883, u'has', u'have.v.01', 573892]]",0
426408,An old picture of men standing in front of motorcycles on a street.,white clouds in blue sky,"[[2167091, u'IN', u'in.r.01', 2167090], [2167092, u'IN', u'in.r.01', 2167090], [2167093, u'IN', u'in.r.01', 2167090], [2167094, u'IN', u'in.r.01', 2167090]]",0
566927,A group of people that are standing in the water.,Water at the beach,"[[3860747, u'at', None, 1677996]]",1
172827,A large bed sitting in a bedroom between two lamps.,Small patch of grass in the field,"[[1005386, u'IN', u'in.r.01', 1005387]]",0
212011,the street is empty on a nice evening,back side of a square sign,"[[1739490, u'of', None, 1739491]]",0
193051,a man using his cell phone to try and take a picture ,the beard on the face of the man,"[[942236, u'OF', None, 942220]]",1
326176,A sea bird with a very black face walking on a beach,the leg of the batter,"[[1268516, u'OF', None, 1268503]]",0
211405,A white toilet with the seat up in a room.,these men are dressed in suits,"[[1919826, u'dressed in suits', u'suit.v.01', 1919825]]",0
511550,A child is eating food from a tray.,girl making a pizza,"[[797045, u'making', u'make.v.01', 797038]]",1
435766,The coffee cups were sitting on the table along with some flowers in bottles.,The mug have white dots.,"[[284763, u'with', None, 284764]]",1
283323,A red fire hydrant spraying water on a street.,Black cap hanging from the fire hydrant.,"[[1099489, u'to', None, 1099468]]",1
208779,A man with headphones petting a sheep at the zoo.,Man on a snowboard,"[[1677193, u'ON', u'along.r.01', 1677194]]",0
118870,A red motorcycle parked under an onclave at a house.,red design on nose of surfboard ,"[[786613, u'has', u'have.v.01', 786616]]",0
233623,A man and woman in blue jerseys standing by a table of food.,a woman's black eyeglasses,"[[2522660, u'ON', u'along.r.01', 2522659]]",1
127882,"Hot dogs with condiments, french fries, and sodas.",wiper on windshield of bus,"[[2041820, u'ON', u'along.r.01', 3539871], [3539871, u'ON', u'along.r.01', 1849982]]",0
386809,The two trains each have glowing orange lights.,The trains are on tracks. ,"[[3343655, u'ON', u'along.r.01', 3649420], [3343655, u'ON', u'along.r.01', 3649421]]",1
524233,a wood bench sitting in front of a pink store front ,meat in a sandwich,"[[3149363, u'IN', u'in.r.01', 3149364]]",0
395022,a bunch of motorcycles are parked together outside,The windshield of a motorcycle,"[[3380582, u'of a', None, 2856910]]",1
334788,A man and woman watch a dog on a surfboard in the ocean.,Humans and a dog at the ocean,"[[2280290, u'IN', u'in.r.01', 3874584], [2280291, u'IN', u'in.r.01', 3874584]]",1
85036,A dog with a bandana and goggles sits on a red motorcycle.,Headlamp on a motorcycle,"[[1230241, u'ON', u'along.r.01', 1230233]]",1
137230,The picture of the market on the side of the street.,The woman walking on the street ,"[[3168798, u'ON', u'along.r.01', 3730485]]",1
3860,people and their horses at a local park,A man and his horse,"[[1038475, u'with', None, 1038476]]",1
479677,A large white plane sitting on a runway.,Building in the background,"[[1279027, u'IN', u'in.r.01', 1279023]]",1
387928,Guy playing tennis in front of a crowd on a clay court.,Woman holding blue open umbrella.,"[[1135393, u'holding', u'have.v.01', 1135394]]",0
495077,A person applies mustard to several hot dogs.,Tallest tree in the background,"[[179862, u'IN', u'in.r.01', 179849]]",0
13290,Two woman walking through the cobbled streets with umbrellas. ,hoof on horse's foot,"[[700879, u'ON', u'along.r.01', 700880]]",0
169116,A man and a woman laughing at something they are looking at. ,square tiles on walls behind tub,"[[3479411, u'ON', u'along.r.01', 3544725], [3544725, u'behind', u'behind.r.01', 3479412]]",0
578060,A man is riding an elephant in a field. ,white clouds in blue sky,"[[1043367, u'IN', u'in.r.01', 1043346]]",0
538444,The blue and red cab is driving in front of a Pizza Hut.,flower on yellow blanket,"[[3050328, u'ON', u'along.r.01', 3322419], [3050329, u'ON', u'along.r.01', 3322419], [3050330, u'ON', u'along.r.01', 3322419], [3050331, u'ON', u'along.r.01', 3322419], [3050332, u'ON', u'along.r.01', 3322419]]",0
271167,A naked baby standing in a bath tub.,chicken is on the plate,"[[1328066, u'ON', u'along.r.01', 1328067]]",0
482706,A woman and a baby brushing their teeth. ,Man on right is wearing red shorts..,"[[3140654, u'WEARING', u'wear.v.01', 3140655]]",0
118171,Two men are reaching up for a Frisbee in the air.,THE MAN'S T-SHIRT IS GREY,"[[3688954, u'WEARING', u'be.v.01', 2462237]]",1
111189,a tennis player on a court with a racket,yellow van parked on the side of the road,"[[3472969, u'parked on', u'along.r.01', 2641900]]",0
23702,Two people dressed in costume advertising while two others ride a horse.,the trunk of a tree,"[[2100232, u'ON', None, 1764801]]",0
193663,A baseball player swinging a bat on a baseball field.,a sign on a street ,"[[1130046, u'ON', u'along.r.01', 1130052]]",0
568454,A young man on skateboard making a jump at skate park.,Wheels on a skateboard,"[[1308786, u'ON', u'along.r.01', 1308768]]",1
359364,a woman in a pink coat walking a dog in the city,red leash on dog,"[[2496192, u'ON', u'along.r.01', 3688962]]",1
79616,Two men in white robes speaking to two women in a building.,a man riding a bicycle,"[[3055697, u'ON', u'along.r.01', 3055698]]",0
443086,a male in a black shirt and a white refrigerator,man wearing black pants,"[[504361, u'WEARING', u'be.v.01', 504374]]",1
167748,A young bear is standing on its hind legs.,Small patch of green grass,"[[3779368, u'OF', None, 3489665]]",1
291614,A view of a kitchen with an island and three chairs.,man wears black clothes ,"[[3319472, u'wears', u'wear.v.01', 3629363]]",0
47935,A woman holds a large pizza on a cutting board.,A cordless phone is on the headboard beside the bed.,"[[184108, u'ON', u'along.r.01', 184127], [184127, u'beside', None, 184118]]",0
503472,"A living room with many packed boxes and furniture.
",Television is on stand,"[[2528588, u'ON', u'along.r.01', 3572154]]",1
9859,A passenger train pulling up to a train station.,The man is wearing a yellow shirt ,"[[3443824, u'WEARING', u'be.v.01', 3522646]]",1
262579,A cow is licking a calf in a field.,green leaves on the tree,"[[1780228, u'ON', u'along.r.01', 1780229]]",0
12240,A large elephant carries travelers across the town.,dog has a leathery black nose,"[[957837, u'has', u'have.v.01', 957845]]",0
43968,A snow boarder takes to the sky near accommodations ,fire hydrant has blue chain,"[[888887, u'has', u'have.v.01', 888901]]",0
403489,A person on their phone walks down the street. ,cars parked in the street,"[[2434436, u'parked in', None, 2434437]]",1
328494,A speeding car zooming through a green lighted intersection.,Van near right side of the road,"[[722668, u'IN', u'in.r.01', 722662]]",1
335144,An idyllic beach with mountains in the background contains a table with an umbrella in the foreground.,a girl with a coat on,"[[2184755, u'with a', None, 3553366]]",0
437518,A man is on the sidewalk reading a street sign.,a plate of broccoli on a dark wood table,"[[2359116, u'OF', None, 2359117], [2359116, u'ON', u'along.r.01', 3526938]]",0
551472,A group of bikes pared on the side of a street.,A baseball being hit by a bat. ,"[[1152711, u'being hit by', u'be.v.01', 1152710]]",0
46315,The tennis player is reaching up towards the tennis ball.,white clouds in blue sky,"[[3495150, u'IN', u'in.r.01', 3625269]]",0
418185,A beautiful woman laying in bed reading a book.,woman wears black shorts,"[[498311, u'WEARING', u'be.v.01', 498323]]",1
101431,A plane flying amid a very orange sky and some small mountains.,the plane is in the sky,"[[1289145, u'across', u'across.r.01', 1289146]]",1
536820,an image of a herd of elephants in the wilderness,the clock is has yellow frame,"[[3801024, u'ON', u'be.v.01', 2893852]]",0
23702,people dressed up in a camel costume and people riding horses along the water,men's shoes are black,"[[2950227, u'ON', u'along.r.01', 2950226]]",1
58831,Two women tennis players greet each other as a photographer snaps a picture.,cockpit of plane in sky,"[[2183990, u'ON', u'along.r.01', 2183991], [2183990, u'IN', u'in.r.01', 3596068]]",0
18930,A football player in red and white carrying a football.,football in crook of arm,"[[1276032, u'IN', u'in.r.01', 1276045]]",1
14514,"A kitchen with ovens, tables, benches and fridges",The light on the ceiling ,"[[3507294, u'ON', u'along.r.01', 3708610]]",1
231020,A plate of food with broccoli and bread.,a display of painting on a green wall,"[[2111387, u'ON', u'along.r.01', 2111386], [2111388, u'ON', u'along.r.01', 2111386], [2111389, u'ON', u'along.r.01', 2111386], [2111390, u'ON', u'along.r.01', 2111386], [2111391, u'ON', u'along.r.01', 2111386]]",0
505010,A vase filled with flowers sits on a table.,left hand of man facing forward,"[[3411162, u'OF', None, 2206316]]",0
407795,A baseball player walking out on to the field,person on a walkway,"[[854520, u'ON', u'along.r.01', 854522]]",0
65206,A small child wearing pink is holding a bat to a hydrant.,Child is wearing shoes,"[[2716429, u'WEARING', u'wear.v.01', 1900739], [2716429, u'WEARING', u'wear.v.01', 1900740]]",1
466771,A small zebra trotting through a grassy field. ,swinging tail of zebra,"[[1965539, u'has', u'have.v.01', 1965538]]",1
316937,Four teddy bears pinned onto a clothesline with clothes pins. ,four teddy bears suspended from clothesline by clothespins on their ears,"[[275527, u'ON', u'along.r.01', 275548], [275529, u'ON', u'along.r.01', 275549], [275531, u'ON', u'along.r.01', 275550], [275533, u'ON', u'along.r.01', 275551]]",1
